col_idx,col_letter,excel_header,proposed_pg_name,proposed_pg_type,complexity,source_tables,sample_value,excel_formula
145,EO,High TRR,high_trr,NUMERIC,conditional,,-22.34027777777778,"=(ED2-IF(EH2>EK2,EH2,EK2))/AC2"
146,EP,Low LRR,low_lrr,NUMERIC,conditional,,21.069444444444443,"=(IF(EI2<EL2,EI2,EL2)-EC2)/AC2"
147,EQ,Trnd TRR,trnd_trr,NUMERIC,arithmetic,,-20.18287037037037,=(ED2-AE2)/AC2
148,ER,Trd LRR,trd_lrr,NUMERIC,arithmetic,,-17.828703703703702,=(EC2-AF2)/AC2
149,ES,Sd TRR,sd_trr,NUMERIC,arithmetic,,22.34027777777778,=(DQ2-ED2)/AC2
150,ET,Sd MRR,sd_mrr,NUMERIC,arithmetic,,22.166666666666668,=(DM2-((ED2+EC2)/2))/AC2
151,EU,Sd LRR,sd_lrr,NUMERIC,arithmetic,,21.069444444444443,=(DR2-EC2)/AC2
152,EV,BB_Bot_15d,bb_bot_15d,NUMERIC,cross_sheet_lookup,drv_td,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$I:$I,"""")"
153,EW,BB_Bot_7d,bb_bot_7d,NUMERIC,cross_sheet_lookup,drv_td,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$J:$J,"""")"
154,EX,BB_Bot_3d,bb_bot_3d,NUMERIC,cross_sheet_lookup,drv_td,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$K:$K,"""")"
155,EY,BB_Bot_Slope,bb_bot_slope,NUMERIC,conditional,,0,"=IF(AND(DU2>EW2,EW2>EV2,(DU2-EV2)>=AC2),1,IF(AND(DU2<EW2,EW2<EV2,(EV2-DU2)>=AC2),-1,0))"
156,EZ,BB_Top_15d,bb_top_15d,NUMERIC,cross_sheet_lookup,drv_td,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$M:$M,"""")"
157,FA,BB_Top_7d,bb_top_7d,NUMERIC,cross_sheet_lookup,drv_td,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$N:$N,"""")"
158,FB,BB_Top_3d,bb_top_3d,NUMERIC,cross_sheet_lookup,drv_td,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$O:$O,"""")"
159,FC,BB_Tot_Slope,bb_tot_slope,NUMERIC,conditional,,0,"=IF(AND(DV2>FA2,FA2>EZ2,(DV2-EZ2)>=AC2),1,IF(AND(DV2<FA2,FA2<EZ2,(EZ2-DV2)>=AC2),-1,0))"
160,FD,BB_Slope,bb_slope,NUMERIC,array_formula,,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da81840>
161,FE,BB Bull,bb_bull,NUMERIC,array_formula,,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da818a0>
162,FF,A_VolumeSpike,a_volumespike,NUMERIC,cross_sheet_lookup,drv_tw,-200443.44,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AQ:$AQ,"""")"
163,FG,VolumeSpike,volumespike,NUMERIC,arithmetic,,200443.44,"=ABS(_xlfn.NUMBERVALUE(SUBSTITUTE(FF2,""NaN"",0)))"
164,FH,VS Spike,vs_spike,NUMERIC,arithmetic,,0200443.44,"=RIGHT(""0000000000"" & FG2 & REPT(""0"",9-LEN(FG2)),10)"
165,FI,VS Volume Spike,vs_volume_spike,NUMERIC,arithmetic,,2,"=_xlfn.NUMBERVALUE(LEFT(FH2,2))"
166,FJ,VS Price Change,vs_price_change,NUMERIC,arithmetic,,4,"=_xlfn.NUMBERVALUE(MID(FH2,3,3))"
167,FK,VS Price Change SD,vs_price_change_sd,NUMERIC,arithmetic,,-0.8866666666666668,"=SIGN(SUBSTITUTE(FF2,""NaN"",0)) * FJ2/(AD2*100)"
168,FL,VS Volatility,vs_volatility,NUMERIC,arithmetic,,43,"=_xlfn.NUMBERVALUE(MID(FH2,6,2))"
169,FM,VS Days,vs_days,NUMERIC,arithmetic,,44,"=_xlfn.NUMBERVALUE(RIGHT(FH2,2))"
170,FN,D_Vlt_Caution,d_vlt_caution,TEXT,cross_sheet_lookup,drv_td,IVPXtrm,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AL:$AL,"""")"
171,FO,D_Vlt_RuleCode,d_vlt_rulecode,TEXT,cross_sheet_lookup,drv_td,,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AK:$AK,"""")"
172,FP,D_Vlt_RuleDesc,d_vlt_ruledesc,TEXT,cross_sheet_lookup,ref_param,,"=_xlfn.XLOOKUP(FO2,Parm!$BS$14:$BS$23,Parm!$BT$14:$BT$23,"""")"
173,FQ,D_Vlt_RuleAction,d_vlt_ruleaction,TEXT,cross_sheet_lookup,ref_param,,"=_xlfn.XLOOKUP(FO2,Parm!$BS$14:$BS$23,Parm!$BU$14:$BU$23,"""")"
174,FR,IVHV,ivhv,NUMERIC,conditional,,128.26086956521738,"=IF(OR(DT2=0,CV2=0),0,DT2*100/CV2)"
175,FS,L_Vlm,l_vlm,NUMERIC,cross_sheet_lookup,drv_tl,6815835,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$G:$G,"""")"
176,FT,W_Vlm,w_vlm,NUMERIC,cross_sheet_lookup,drv_tw,6815835,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$K:$K,"""")"
177,FU,Volume,volume,NUMERIC,cross_sheet_simple,(scalar from drv_dash),6815835,"=IF(Dash!$AB$25=""Y"",FS2,FT2)"
178,FV,VolumeRateOfChange,volumerateofchange,NUMERIC,cross_sheet_lookup,drv_tw,38.55,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AT:$AT,"""")"
179,FW,W_Avg Vlm (10day),w_avg_vlm_10day,NUMERIC,cross_sheet_lookup,drv_tw,4431087.34,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$L:$L,"""")"
180,FX,Vlm 10  Factor,vlm_10_factor,NUMERIC,conditional,,0.5381856589628857,"=IF(OR(FU2=0,FU2="""",FW2=0,FW2=""""),0,(FU2-FW2)/FW2)"
181,FY,Vlm 10 day %,vlm_10_day,NUMERIC,arithmetic,,53.818565896288575,=100*FX2
