col_idx,col_letter,header,sample_value,formula
114,DJ,Y_Open,91.54,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$N:$N,"""")"
115,DK,Y_High,96.51,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$O:$O,"""")"
116,DL,Y_Low,91.02,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$P:$P,"""")"
117,DM,Last,95.76,"=IF(Dash!$AB$24=""Y"",MA!DG2,MA!CY2)"
118,DN,Net Chng,4.62,"=IF(Dash!$AB$24=""Y"",MA!DH2,MA!CZ2)"
119,DO,%Change,0.0507,"=IF(Dash!$AB$24=""Y"",MA!DI2,MA!DA2)"
120,DP,Open,91.685,"=IF(Dash!$AB$24=""Y"",MA!DJ2,MA!DB2)"
121,DQ,High,96.51,"=IF(Dash!$AB$24=""Y"",MA!DK2,MA!DC2)"
122,DR,Low,91.02,"=IF(Dash!$AB$24=""Y"",MA!DL2,MA!DD2)"
123,DS,RSI,69.17,"=IF(Dash!$AB$24=""Y"",DE2,CT2)"
124,DT,ImpVolatility,0.59,"=IF(Dash!$AB$24=""Y"",DF2,CU2)"
125,DU,BB_Bot_Prev,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$L:$L,"""")"
126,DV,BB_Top_Prev,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$P:$P,"""")"
127,DW,BB BRR%,,"=IF(_xlfn.IFNA(DU2,"""")=0,"""",(D2-DU2)*100/(DV2-DU2))"
128,DX,RR_Bottom,0,"=_xlfn.XLOOKUP(B2,RR!F:F,RR!H:H,0)"
129,DY,RR_Top,0,"=_xlfn.XLOOKUP(B2,RR!F:F,RR!I:I,0)"
130,DZ,RR BRR%,,"=IF(_xlfn.IFNA(DX2,"""")=0,"""",(D2-DX2)*100/(DY2-DX2))"
131,EA,ETF_Bottom,,"=_xlfn.XLOOKUP(U2&B2,etf!A:A,etf!E:E,"""")"
132,EB,ETF_Top,,"=_xlfn.XLOOKUP(U2&B2,etf!A:A,etf!F:F,"""")"
133,EC,RR_Bottom,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da809a0>
134,ED,RR_Top,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da80a00>
135,EE,BRR%,,"=IF(_xlfn.IFNA(EC2,"""")=0,"""",(D2-EC2)*100/(ED2-EC2))"
136,EF,Prev Close,95.76,=CN2
137,EG,Open,91.685,=CQ2
138,EH,High,96.51,=CR2
139,EI,Low,91.02,=CS2
140,EJ,Open,91.685,=DP2
141,EK,High,96.51,=DQ2
142,EL,Low,91.02,=DR2
143,EM,Chg SD,1.0694444444444444,=CA2
144,EN,Price Direction,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da81120>
145,EO,High TRR,-22.34027777777778,"=(ED2-IF(EH2>EK2,EH2,EK2))/AC2"
146,EP,Low LRR,21.069444444444443,"=(IF(EI2<EL2,EI2,EL2)-EC2)/AC2"
147,EQ,Trnd TRR,-20.18287037037037,=(ED2-AE2)/AC2
148,ER,Trd LRR,-17.828703703703702,=(EC2-AF2)/AC2
149,ES,Sd TRR,22.34027777777778,=(DQ2-ED2)/AC2
150,ET,Sd MRR,22.166666666666668,=(DM2-((ED2+EC2)/2))/AC2
151,EU,Sd LRR,21.069444444444443,=(DR2-EC2)/AC2
152,EV,BB_Bot_15d,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$I:$I,"""")"
153,EW,BB_Bot_7d,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$J:$J,"""")"
154,EX,BB_Bot_3d,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$K:$K,"""")"
155,EY,BB_Bot_Slope,0,"=IF(AND(DU2>EW2,EW2>EV2,(DU2-EV2)>=AC2),1,IF(AND(DU2<EW2,EW2<EV2,(EV2-DU2)>=AC2),-1,0))"
156,EZ,BB_Top_15d,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$M:$M,"""")"
157,FA,BB_Top_7d,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$N:$N,"""")"
158,FB,BB_Top_3d,0,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$O:$O,"""")"
159,FC,BB_Tot_Slope,0,"=IF(AND(DV2>FA2,FA2>EZ2,(DV2-EZ2)>=AC2),1,IF(AND(DV2<FA2,FA2<EZ2,(EZ2-DV2)>=AC2),-1,0))"
160,FD,BB_Slope,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da81840>
161,FE,BB Bull,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da818a0>
162,FF,A_VolumeSpike,-200443.44,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AQ:$AQ,"""")"
163,FG,VolumeSpike,200443.44,"=ABS(_xlfn.NUMBERVALUE(SUBSTITUTE(FF2,""NaN"",0)))"
164,FH,VS Spike,0200443.44,"=RIGHT(""0000000000"" & FG2 & REPT(""0"",9-LEN(FG2)),10)"
165,FI,VS Volume Spike,2,"=_xlfn.NUMBERVALUE(LEFT(FH2,2))"
166,FJ,VS Price Change,4,"=_xlfn.NUMBERVALUE(MID(FH2,3,3))"
167,FK,VS Price Change SD,-0.8866666666666668,"=SIGN(SUBSTITUTE(FF2,""NaN"",0)) * FJ2/(AD2*100)"
168,FL,VS Volatility,43,"=_xlfn.NUMBERVALUE(MID(FH2,6,2))"
169,FM,VS Days,44,"=_xlfn.NUMBERVALUE(RIGHT(FH2,2))"
170,FN,D_Vlt_Caution,IVPXtrm,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AL:$AL,"""")"
171,FO,D_Vlt_RuleCode,,"=_xlfn.XLOOKUP($M2&$B2,TD!$D:$D,TD!$AK:$AK,"""")"
172,FP,D_Vlt_RuleDesc,,"=_xlfn.XLOOKUP(FO2,Parm!$BS$14:$BS$23,Parm!$BT$14:$BT$23,"""")"
173,FQ,D_Vlt_RuleAction,,"=_xlfn.XLOOKUP(FO2,Parm!$BS$14:$BS$23,Parm!$BU$14:$BU$23,"""")"
174,FR,IVHV,128.26086956521738,"=IF(OR(DT2=0,CV2=0),0,DT2*100/CV2)"
175,FS,L_Vlm,6815835,"=_xlfn.XLOOKUP($O2&$B2,TL!$D:$D,TL!$G:$G,"""")"
176,FT,W_Vlm,6815835,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$K:$K,"""")"
177,FU,Volume,6815835,"=IF(Dash!$AB$25=""Y"",FS2,FT2)"
178,FV,VolumeRateOfChange,38.55,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$AT:$AT,"""")"
179,FW,W_Avg Vlm (10day),4431087.34,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$L:$L,"""")"
180,FX,Vlm 10  Factor,0.5381856589628857,"=IF(OR(FU2=0,FU2="""",FW2=0,FW2=""""),0,(FU2-FW2)/FW2)"
181,FY,Vlm 10 day %,53.818565896288575,=100*FX2
182,FZ,W_Avg Vlm (3m),4379189.87,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$M:$M,"""")"
