Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
05/22/2026,1630,AS,35.26,-0.20%,Consumer Discretionary,1.128,1.34,$0.78,42.76,28.92,34.64,34.35,35.69,5.0,0.45,0.55,"3,613,198",-200151.04,4368042.02,4944704.0,6.14,6.56,-2.14,4.23,41.62,31.44,-31.44,-33.07,58.0,"20,515 M"
05/22/2026,1630,ASBFF,25.76,0.00%,Consumer Staples,.4235,2.36,<empty>,31.08,23.18,27.04,28.05,25.16,1.0,0.29,0.37,"55,128",NaN,2186.16,2774.45,-72.45,-11.17,-3.38,6.01,31.09,23.04,-23.04,-23.04,NaN,"18,028 M"
05/22/2026,1630,ASO,52.52,+2.92%,Consumer Discretionary,1.023,1.54,$3.32,62.445,39.87,52.32,54.43,52.96,3.0,0.1,0.54,"1,069,908",-200851.48,1455007.85,1452581.89,-7.7,-1.91,-2.94,6.64,62.6,48.03,62.6,-48.03,11.0,"3,388 M"
05/22/2026,1630,ATRO,80.86,+1.21%,Industrials,1.107,2.83,$0.68,86.2699,27.2701,76.63,73.04,59.36,-2.0,-0.57,-0.65,"445,437",101060.08,559286.81,601191.4,-12.61,19.16,7.7,1.86,84.58,61.38,-61.38,86.02,46.0,"2,898 M"
05/22/2026,1630,AVB,185.65,+0.84%,Real Estate,.8031,1.64,$11.84,209.86,160.095,184.23,174.37,180.76,1.0,-0.82,0.33,"1,311,866",-200121.02,1043380.03,1040418.95,101.3,13.51,0.85,0.29,188.08,160.37,188.08,-180.05,45.0,"26,339 M"
05/22/2026,1630,AVGO,414.14,-0.10%,Information Technology,1.41,7.79,$6.12,442.36,226.18,419.09,377.04,349.85,-6.0,-0.54,-0.25,"14,051,844",0.0,2.228283536E7,2.37528542E7,-7.19,30.11,-3.69,0.75,442.06,290.38,442.06,442.06,7.0,"1,960,815 M"
05/22/2026,1630,AVO,11.92,-0.17%,Consumer Staples,.5783,0.57,$0.54,15.53,10.0,12.96,13.37,12.77,5.0,0.0,0.36,"734,666",-200548.25,1026513.72,913463.76,-33.1,-8.24,-8.87,-2.53,16.32,12.47,16.32,14.16,8.0,844 M
05/22/2026,1630,AVTR,8.12,+3.18%,Health Care,.9292,0.25,$0.65,15.93,7.265,7.98,7.94,10.83,3.0,0.67,0.64,"7,201,932",100357.03,9262111.08,9508806.13,0.84,5.05,-2.29,6.28,9.61,7.39,-7.39,-7.02,47.0,"5,544 M"
05/22/2026,1630,AWI,157.42,+0.17%,Industrials,1.175,3.67,$5.53,206.0799,149.06,162.55,167.42,184.97,3.0,0.29,0.49,"269,908",200132.19,443783.25,537343.32,-41.65,-4.94,-2.68,3.0,191.62,152.03,191.62,-152.03,44.0,"6,719 M"
05/22/2026,1630,AXP,311.78,+0.67%,Financials,1.066,3.56,$20.73,387.49,281.465,315.01,312.08,336.75,3.0,0.58,0.34,"2,209,127",100039.45,3227681.7,3667110.29,-17.95,3.24,-1.34,0.8,340.25,291.44,340.25,-303.02,42.0,"212,736 M"
